"year","value","state","stcname","stcgroup","units","base"
2007,5.36533660700326,"ME","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,7.67267746437278,"MT","Amusement","License Taxes","Million Dollars","Real"
2007,0.564529396436409,"AK","Public Utilities","License Taxes","Million Dollars","Real"
2007,33.5195097486262,"OR","Property Tax","Property Taxes","Million Dollars","Real"
2007,576.069177177734,"TN","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.74881207474622,"ND","Property Tax","Property Taxes","Million Dollars","Real"
2007,6.16521477089136,"ND","Veh. Operators","License Taxes","Million Dollars","Real"
2007,322.844670990382,"KY","Vehicles","License Taxes","Million Dollars","Real"
2007,0.330718856222965,"KS","Amusement","License Taxes","Million Dollars","Real"
2007,1701.74387012641,"OH","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,427.250306559114,"MD","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,117.782059632523,"MO","Corporations","License Taxes","Million Dollars","Real"
2007,710.747124795154,"AR","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,4222.3322459885,"KS","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,0.187663723066054,"SD","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,67.0051784980109,"AZ","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,0,"RI","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,229.928054664111,"NY","Occupation and Business","License Taxes","Million Dollars","Real"
2007,482.96182067392,"PA","Amusement","License Taxes","Million Dollars","Real"
2007,1.61821505463516,"MN","Amusement","License Taxes","Million Dollars","Real"
2007,5335.97338725237,"CA","Occupation and Business","License Taxes","Million Dollars","Real"
2007,10.8921870740224,"NE","Corporations","License Taxes","Million Dollars","Real"
2007,4268.35139027512,"OK","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,110.010935624902,"NY","Corporations","License Taxes","Million Dollars","Real"
2007,135.494746280929,"DE","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,40.2646361883364,"HI","Occupation and Business","License Taxes","Million Dollars","Real"
2007,5280.00652741602,"CA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,208.89433540833,"TN","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,21.0860189818809,"MD","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,228.145249294984,"AR","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,273.076866924159,"KY","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,281.390985146881,"IN","Vehicles","License Taxes","Million Dollars","Real"
2007,421.857281861823,"VT","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,59.5601586648986,"AK","Occupation and Business","License Taxes","Million Dollars","Real"
2007,31.2475481177363,"MI","Corporations","License Taxes","Million Dollars","Real"
2007,7437.0518160182,"MO","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,238.209870114829,"NV","Occupation and Business","License Taxes","Million Dollars","Real"
2007,17.5511727883908,"OR","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,21.467499336966,"WV","Public Utilities","License Taxes","Million Dollars","Real"
2007,8.49255258235808,"NE","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,5.85295464152735,"MA","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,315.327354477072,"CO","Vehicles","License Taxes","Million Dollars","Real"
2007,16.1498477743484,"IA","Alcohol","License Taxes","Million Dollars","Real"
2007,3757.14464105252,"FL","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,157.208361976015,"KY","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,15094.2024146481,"PA","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,1665.70628238878,"GA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,558.350337620374,"AR","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,327.654707564378,"AZ","Vehicles","License Taxes","Million Dollars","Real"
2007,3005.14687640931,"UT","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,97.0006096438147,"MT","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,49.7601129300311,"AK","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,13.8625038710761,"WV","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,13.0795462068087,"GA","Other","License Taxes","Million Dollars","Real"
2007,309.746666056714,"IL","Corporations","License Taxes","Million Dollars","Real"
2007,33.9225252850467,"IA","Amusement","License Taxes","Million Dollars","Real"
2007,37.6388822926499,"NM","Occupation and Business","License Taxes","Million Dollars","Real"
2007,0.43378008118547,"NE","Alcohol","License Taxes","Million Dollars","Real"
2007,4730.5225315969,"TX","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,820.313512748203,"SC","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,31.5275054750971,"AR","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,7627.38897802433,"NY","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,676.316984521486,"CT","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,14956.0726851081,"OH","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,149.875632731295,"ME","Occupation and Business","License Taxes","Million Dollars","Real"
2007,641.38538216815,"OR","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1.50284801176668,"DE","Alcohol","License Taxes","Million Dollars","Real"
2007,707.441474460163,"MD","Vehicles","License Taxes","Million Dollars","Real"
2007,446.859627392279,"NH","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,359.260662628626,"CT","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1803.26071494172,"NY","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,75.5838718057108,"MN","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,99.7432688096079,"MD","Taxes, not elsewhere classified","Other Taxes","Million Dollars","Real"
2007,897.443302928352,"PA","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,0.0769113619123174,"MN","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,27.380444840785,"CT","Corporations","License Taxes","Million Dollars","Real"
2007,52.1289828769305,"ID","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,0.952162660474489,"AZ","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,6.67282975951265,"NC","Other","License Taxes","Million Dollars","Real"
2007,157.082227342479,"RI","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,97.2928728190815,"NE","Occupation and Business","License Taxes","Million Dollars","Real"
2007,1998.41714288527,"PA","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,505.204586538963,"NV","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,103.161209732991,"SC","Corporations","License Taxes","Million Dollars","Real"
2007,0.464544625950397,"NM","Alcohol","License Taxes","Million Dollars","Real"
2007,141.966068272232,"ME","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,0,"AL","Other","License Taxes","Million Dollars","Real"
2007,68.9295007730571,"TN","Veh. Operators","License Taxes","Million Dollars","Real"
2007,25.9483552819776,"WA","Public Utilities","License Taxes","Million Dollars","Real"
2007,94.0595191642877,"WA","Veh. Operators","License Taxes","Million Dollars","Real"
2007,72.4135854676851,"MT","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,392.361774568449,"PA","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,46.9913039011877,"AZ","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,1322.48010049163,"TN","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,7.53116055845412,"IN","Amusement","License Taxes","Million Dollars","Real"
2007,70.6707740067519,"MN","Other","License Taxes","Million Dollars","Real"
2007,1352.98622308053,"VA","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,10.4937862193166,"ID","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,1190.39714222513,"NY","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2597.3428385961,"WA","Property Tax","Property Taxes","Million Dollars","Real"
2007,1591.23762533079,"MI","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,238.083735481293,"NM","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,8.36334149434539,"MA","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,1620.34396113289,"NY","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,716.409339259139,"CT","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3934.23766653734,"HI","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,58.5987666409946,"SC","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,73.2519193125293,"MS","Property Tax","Property Taxes","Million Dollars","Real"
2007,254.744274698739,"MO","Occupation and Business","License Taxes","Million Dollars","Real"
2007,350.709657411214,"CA","Veh. Operators","License Taxes","Million Dollars","Real"
2007,23.0226470748331,"AR","Veh. Operators","License Taxes","Million Dollars","Real"
2007,1348.5607433161,"CA","Public Utilities","License Taxes","Million Dollars","Real"
2007,383.936903984574,"MA","Death and Gift Taxes","Other Taxes","Million Dollars","Real"
2007,89.8324707135867,"PA","Veh. Operators","License Taxes","Million Dollars","Real"
2007,457.44570724589,"MN","Occupation and Business","License Taxes","Million Dollars","Real"
2007,2474.98301470256,"NC","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,245.136507368653,"MI","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,32.0397351454332,"MI","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3.10568079401938,"MD","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,312.018627687604,"IN","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1510.3253343718,"NY","Tobacco Products Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,99.1648953680273,"PA","Property Tax","Property Taxes","Million Dollars","Real"
2007,110.809275561552,"WY","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,49.2309627600743,"LA","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,1145.81008749732,"AL","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,3939.40149537613,"UT","Individual Income Taxes","Income Taxes","Million Dollars","Real"
2007,1988.09717634387,"TX","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1736.347830078,"WA","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,38.0511271924999,"PA","Pari-mutuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,505.030766861041,"WV","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,1077.12362662791,"IL","Occupation and Business","License Taxes","Million Dollars","Real"
2007,39.3155499823384,"MD","Veh. Operators","License Taxes","Million Dollars","Real"
2007,2.73958271131674,"RI","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,0.0230734085736952,"WV","Amusement","License Taxes","Million Dollars","Real"
2007,2748.30138330312,"IA","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,17.7819068741278,"WV","Alcohol","License Taxes","Million Dollars","Real"
2007,3.6840542356,"NE","Property Tax","Property Taxes","Million Dollars","Real"
2007,1.91663113885495,"WY","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,310.452712359069,"MT","Property Tax","Property Taxes","Million Dollars","Real"
2007,1809.38901225889,"FL","Vehicles","License Taxes","Million Dollars","Real"
2007,58.4926289615556,"CT","Veh. Operators","License Taxes","Million Dollars","Real"
2007,493.452530438761,"NJ","Corporations","License Taxes","Million Dollars","Real"
2007,51.5598387987793,"FL","Public Utilities","License Taxes","Million Dollars","Real"
2007,611.106917210509,"MA","Insurance Premiums Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,13.368732927599,"WV","Corporations","License Taxes","Million Dollars","Real"
2007,109.240283778541,"WI","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,1005.57144841364,"FL","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,1367.51785580024,"VT","Property Tax","Property Taxes","Million Dollars","Real"
2007,1157.93593281642,"LA","Corporation Net Income Taxes","Income Taxes","Million Dollars","Real"
2007,365.302819220457,"MI","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,692.379153343255,"NJ","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2645.45704838121,"OH","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,258.043772124778,"VA","Alcoholic Beverages Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,2.73342980236376,"AK","Alcohol","License Taxes","Million Dollars","Real"
2007,69.7524523455189,"AZ","Public Utilities Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,170.643238674859,"DE","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,0.199969540972025,"VA","Amusement Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,35146.9387844184,"FL","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,13.2733628388277,"SC","Alcohol","License Taxes","Million Dollars","Real"
2007,24.8623668517757,"AL","Veh. Operators","License Taxes","Million Dollars","Real"
2007,125.940816904181,"MI","Severance Taxes","Other Taxes","Million Dollars","Real"
2007,895.723564875992,"VA","Documentary and Stock Transfer Taxes","Other Taxes","Million Dollars","Real"
2007,198.71127109114,"NH","Motor Fuels Sales Tax","Selective Sales Taxes","Million Dollars","Real"
2007,7.44963451482706,"OK","Alcohol","License Taxes","Million Dollars","Real"
2007,4033.16413668344,"CA","Vehicles","License Taxes","Million Dollars","Real"
2007,123.125861058191,"ND","Other Selective Sales Taxes","Selective Sales Taxes","Million Dollars","Real"
2007,12.2719769067294,"ME","Corporations","License Taxes","Million Dollars","Real"
2007,5303.54294238843,"MD","General Sales Tax","General Sales Taxes","Million Dollars","Real"
2007,30.3599910012682,"GA","Hunt & Fish","License Taxes","Million Dollars","Real"
2007,1422.85250424168,"AZ","Property Tax","Property Taxes","Million Dollars","Real"
